# Boundary size = 90,repeat=1000,threads=16
#  Data is stored in the following manner
# time(tau), probability
-1.017077999999999927e+00 4.582499999999999907e-01
-1.015999899999999956e+00 4.719375000000000098e-01
-1.007077999999999918e+00 5.550625000000000142e-01
-1.005999899999999947e+00 5.633749999999999591e-01
-9.959997999999999907e-01 6.553750000000000409e-01
