# Boundary size = 10,repeat=2600,threads=5
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.662037000000000209e-01 4.926923076923077072e-01
-3.595923999999999787e-01 7.123076923076923084e-01
-3.556373999999999924e-01 8.192307692307692069e-01
-3.530269999999999797e-01 8.813076923076923475e-01
-3.467415999999999832e-01 9.633846153846153948e-01
-3.408676999999999957e-01 9.924615384615385061e-01
