# Boundary size = 8,repeat=2600,threads=5
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.852640999999999982e-01 1.081538461538461560e-01
-3.758570999999999995e-01 2.500000000000000000e-01
-3.687344000000000177e-01 4.103076923076923177e-01
-3.647344000000000142e-01 5.213076923076923608e-01
-3.607344000000000106e-01 6.136153846153845626e-01
-3.567344000000000070e-01 7.173076923076923128e-01
-3.545281000000000127e-01 7.760769230769231086e-01
-3.252641000000000004e-01 9.993076923076923412e-01
-3.158571000000000017e-01 1.000000000000000000e+00
