# Boundary size = 50,repeat=1000,threads=10
#  Data is stored in the following manner
# time(tau), probability
-1.009999899999999950e+00 5.006000000000000449e-01
-9.999997999999999942e-01 5.340000000000000302e-01
-9.899997999999999854e-01 5.881999999999999451e-01
-9.799997999999999765e-01 6.360999999999999988e-01
-9.699997999999999676e-01 6.893000000000000238e-01
