# Boundary size = 45,repeat=1000,threads=10
#  Data is stored in the following manner
# time(tau), probability
-1.029999899999999968e+00 3.971000000000000085e-01
-1.019999899999999959e+00 4.375999999999999890e-01
-1.009999899999999950e+00 4.774999999999999800e-01
-9.999997999999999942e-01 5.208000000000000407e-01
-9.899997999999999854e-01 5.776000000000000023e-01
