# Boundary size = 30,repeat=1000,threads=10
#  Data is stored in the following manner
# time(tau), probability
-1.015999899999999956e+00 4.218999999999999972e-01
-1.005999899999999947e+00 4.672999999999999932e-01
-9.959997999999999907e-01 4.819999999999999840e-01
-9.859997999999999818e-01 5.284999999999999698e-01
-9.759997999999999729e-01 5.462000000000000188e-01
