# Boundary size = 10,repeat=2600,threads=5
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-4.046816999999999775e-01 4.153846153846153799e-03
-3.691978000000000204e-01 3.898461538461538423e-01
-3.681752999999999831e-01 4.351538461538461688e-01
-3.651978000000000169e-01 5.265384615384615108e-01
-3.641752999999999796e-01 5.625384615384615428e-01
-3.611978000000000133e-01 6.617692307692307763e-01
-3.601752999999999760e-01 6.982307692307692104e-01
-3.462593999999999950e-01 9.686923076923077414e-01
-3.446816999999999798e-01 9.778461538461538094e-01
