# Boundary size = 8,repeat=2600,threads=5
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.681752999999999831e-01 4.241538461538461591e-01
-3.641752999999999796e-01 5.281538461538461959e-01
-3.632600999999999747e-01 5.518461538461538751e-01
-3.601752999999999760e-01 6.318461538461538352e-01
-3.582618000000000191e-01 6.839230769230769669e-01
-3.561752999999999725e-01 7.346923076923076446e-01
-3.488379999999999814e-01 8.783846153846154303e-01
-3.452515999999999918e-01 9.268461538461538751e-01
-3.192103000000000024e-01 9.999230769230769145e-01
