# Boundary size = 16,repeat=2600,threads=5
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.865125999999999840e-01 1.276923076923076883e-02
-3.726960999999999746e-01 2.245384615384615479e-01
-3.676574000000000231e-01 4.579230769230769327e-01
-3.663229000000000068e-01 5.335384615384615170e-01
-3.636574000000000195e-01 6.802307692307691944e-01
-3.623229000000000033e-01 7.453076923076923377e-01
-3.601660999999999890e-01 8.493846153846154046e-01
-3.330889000000000211e-01 1.000000000000000000e+00
-3.265125999999999862e-01 1.000000000000000000e+00
