# Boundary size = 11,repeat=2600,threads=5
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.857503999999999933e-01 5.207692307692307621e-02
-3.842859000000000136e-01 6.507692307692307387e-02
-3.691978000000000204e-01 3.902307692307692144e-01
-3.651978000000000169e-01 5.429230769230769527e-01
-3.611978000000000133e-01 6.905384615384615454e-01
-3.323211999999999833e-01 9.999230769230769145e-01
-3.307889999999999997e-01 1.000000000000000000e+00
-3.257503999999999955e-01 1.000000000000000000e+00
-3.242859000000000158e-01 1.000000000000000000e+00
