# Boundary size = 13,repeat=2600,threads=5
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.784280999999999895e-01 1.143076923076923046e-01
-3.745551999999999770e-01 1.995384615384615257e-01
-3.676574000000000231e-01 4.593076923076923057e-01
-3.636574000000000195e-01 6.267692307692307452e-01
-3.596574000000000160e-01 7.963076923076922720e-01
-3.523347000000000007e-01 9.599230769230768789e-01
-3.280349000000000181e-01 1.000000000000000000e+00
-3.223730000000000206e-01 1.000000000000000000e+00
-3.184280999999999917e-01 1.000000000000000000e+00
