# Boundary size = 19,repeat=800,threads=16
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-4.718885999999999914e-01 0.000000000000000000e+00
-4.576420999999999961e-01 0.000000000000000000e+00
-3.976420999999999983e-01 0.000000000000000000e+00
-3.685526000000000080e-01 4.028125000000000178e-01
-3.675526000000000071e-01 4.664062500000000222e-01
-3.665526000000000062e-01 5.410937500000000400e-01
-3.655526000000000053e-01 6.073437499999999600e-01
-3.645526000000000044e-01 6.676562499999999512e-01
-3.376421000000000006e-01 1.000000000000000000e+00
