# Boundary size = 12,repeat=920,threads=14
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.683332999999999746e-01 4.173913043478260643e-01
-3.676666000000000101e-01 4.531055900621118182e-01
-3.669999999999999929e-01 4.725931677018633814e-01
-3.663332999999999728e-01 5.055124223602484035e-01
-3.656666000000000083e-01 5.301242236024844567e-01
-3.649999999999999911e-01 5.642857142857142794e-01
-3.643333000000000266e-01 5.886645962732919291e-01
-3.636666000000000065e-01 6.134316770186335477e-01
-3.629999999999999893e-01 6.419254658385092904e-01
