# Boundary size = 10,repeat=920,threads=14
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.683332999999999746e-01 4.250776397515527716e-01
-3.676666000000000101e-01 4.506211180124223836e-01
-3.669999999999999929e-01 4.740683229813664745e-01
-3.663332999999999728e-01 4.979813664596273171e-01
-3.656666000000000083e-01 5.086180124223602661e-01
-3.649999999999999911e-01 5.370341614906832817e-01
-3.643333000000000266e-01 5.548913043478260754e-01
-3.636666000000000065e-01 5.829192546583851220e-01
-3.629999999999999893e-01 6.027173913043478715e-01
