# Boundary size = 17,repeat=920,threads=14
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.683332999999999746e-01 4.215062111801242128e-01
-3.676666000000000101e-01 4.631211180124223392e-01
-3.669999999999999929e-01 4.949534161490683482e-01
-3.663332999999999728e-01 5.378881987577639467e-01
-3.656666000000000083e-01 5.806677018633540355e-01
-3.649999999999999911e-01 6.163819875776397339e-01
-3.643333000000000266e-01 6.530279503105590466e-01
-3.636666000000000065e-01 6.986801242236024834e-01
-3.629999999999999893e-01 7.308229813664596231e-01
