# Boundary size = 8,repeat=920,threads=14
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.683332999999999746e-01 4.139751552795031264e-01
-3.676666000000000101e-01 4.352484472049689690e-01
-3.669999999999999929e-01 4.520186335403726940e-01
-3.663332999999999728e-01 4.735248447204968847e-01
-3.656666000000000083e-01 4.934006211180124168e-01
-3.649999999999999911e-01 5.031832298136645898e-01
-3.643333000000000266e-01 5.298913043478260532e-01
-3.636666000000000065e-01 5.482142857142857650e-01
-3.629999999999999893e-01 5.602484472049689135e-01
