# Boundary size = 16,repeat=920,threads=14
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.683332999999999746e-01 4.277950310559006097e-01
-3.676666000000000101e-01 4.549689440993788803e-01
-3.669999999999999929e-01 4.932453416149068515e-01
-3.663332999999999728e-01 5.327639751552795122e-01
-3.656666000000000083e-01 5.753881987577639245e-01
-3.649999999999999911e-01 6.135869565217391131e-01
-3.643333000000000266e-01 6.475931677018633703e-01
-3.636666000000000065e-01 6.814440993788819512e-01
-3.629999999999999893e-01 7.204968944099379158e-01
