# Boundary size = 18,repeat=920,threads=14
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.683332999999999746e-01 4.220496894409938027e-01
-3.676666000000000101e-01 4.679347826086956430e-01
-3.669999999999999929e-01 5.008540372670807761e-01
-3.663332999999999728e-01 5.476708074534161197e-01
-3.656666000000000083e-01 5.908385093167701774e-01
-3.649999999999999911e-01 6.258540372670807761e-01
-3.643333000000000266e-01 6.738354037267080265e-01
-3.636666000000000065e-01 7.136645962732919291e-01
-3.629999999999999893e-01 7.510093167701863415e-01
