# Boundary size = 14,repeat=920,threads=14
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.683332999999999746e-01 4.256987577639751441e-01
-3.676666000000000101e-01 4.549689440993788803e-01
-3.669999999999999929e-01 4.879658385093167960e-01
-3.663332999999999728e-01 5.229813664596273393e-01
-3.656666000000000083e-01 5.565993788819876276e-01
-3.649999999999999911e-01 5.920807453416149224e-01
-3.643333000000000266e-01 6.188664596273292240e-01
-3.636666000000000065e-01 6.475931677018633703e-01
-3.629999999999999893e-01 6.900621118012422173e-01
