# Boundary size = 22,repeat=920,threads=14
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.683332999999999746e-01 4.090838509316770399e-01
-3.676666000000000101e-01 4.630434782608695565e-01
-3.669999999999999929e-01 5.072981366459626829e-01
-3.663332999999999728e-01 5.652950310559006208e-01
-3.656666000000000083e-01 6.170031055900621064e-01
-3.649999999999999911e-01 6.769409937888198892e-01
-3.643333000000000266e-01 7.267080745341615300e-01
-3.636666000000000065e-01 7.667701863354037251e-01
-3.629999999999999893e-01 8.197204968944099557e-01
