# Boundary size = 70,repeat=1700,threads=10
#  Data is stored in the following manner
# time(tau), probability
-1.010799800000000026e+00 5.040000000000000036e-01
-1.000799800000000017e+00 5.706470588235293961e-01
-9.921961000000000253e-01 6.452941176470587958e-01
-9.907998000000000083e-01 6.493529411764705772e-01
-9.807997999999999994e-01 7.202352941176470846e-01
