# Boundary size = 50,repeat=1700,threads=10
#  Data is stored in the following manner
# time(tau), probability
-1.010799800000000026e+00 4.815294117647058725e-01
-1.000799800000000017e+00 5.350000000000000311e-01
-9.907998000000000083e-01 5.905294117647058583e-01
-9.807997999999999994e-01 6.310000000000000053e-01
-9.707997999999999905e-01 6.864117647058823879e-01
