# Boundary size = 10,repeat=2600,threads=5
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.722846000000000211e-01 3.131538461538461715e-01
-3.710133999999999932e-01 3.350000000000000200e-01
-3.687344000000000177e-01 4.143846153846154068e-01
-3.647344000000000142e-01 5.463076923076922720e-01
-3.607344000000000106e-01 6.793846153846153646e-01
-3.558071999999999901e-01 8.205384615384615499e-01
-3.265857999999999817e-01 1.000000000000000000e+00
-3.122846000000000233e-01 1.000000000000000000e+00
-3.110133999999999954e-01 1.000000000000000000e+00
