# Boundary size = 18,repeat=800,threads=16
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.683332999999999746e-01 4.162500000000000089e-01
-3.676666000000000101e-01 4.664843750000000067e-01
-3.669999999999999929e-01 4.984374999999999778e-01
-3.663332999999999728e-01 5.461718749999999734e-01
-3.656666000000000083e-01 5.873437500000000533e-01
-3.649999999999999911e-01 6.282031249999999734e-01
-3.643333000000000266e-01 6.737499999999999600e-01
-3.636666000000000065e-01 7.044531250000000133e-01
-3.629999999999999893e-01 7.494531250000000533e-01
