# Boundary size = 20,repeat=800,threads=16
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.683332999999999746e-01 4.172656249999999734e-01
-3.676666000000000101e-01 4.604687499999999822e-01
-3.669999999999999929e-01 5.153906249999999911e-01
-3.663332999999999728e-01 5.546875000000000000e-01
-3.656666000000000083e-01 6.033593750000000311e-01
-3.649999999999999911e-01 6.533593749999999645e-01
-3.643333000000000266e-01 6.949218750000000222e-01
-3.636666000000000065e-01 7.461718750000000400e-01
-3.629999999999999893e-01 7.830468750000000311e-01
