# Boundary size = 13,repeat=2600,threads=5
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.785846999999999962e-01 1.153076923076923055e-01
-3.660905999999999882e-01 5.239230769230769358e-01
-3.659223999999999810e-01 5.290769230769231113e-01
-3.620905999999999847e-01 6.975384615384615516e-01
-3.619223999999999775e-01 7.107692307692308198e-01
-3.355526999999999815e-01 1.000000000000000000e+00
-3.241441999999999934e-01 1.000000000000000000e+00
-3.226902999999999855e-01 1.000000000000000000e+00
-3.185846999999999984e-01 1.000000000000000000e+00
