# Boundary size = 10,repeat=2600,threads=5
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.692741999999999969e-01 3.915384615384615574e-01
-3.658832000000000195e-01 4.996153846153846279e-01
-3.652741999999999933e-01 5.373076923076922640e-01
-3.651622999999999952e-01 5.258461538461538520e-01
-3.618832000000000160e-01 6.398461538461538423e-01
-3.612741999999999898e-01 6.620000000000000329e-01
-3.611622999999999917e-01 6.592307692307691758e-01
-3.578832000000000124e-01 7.693846153846153335e-01
-3.334131000000000178e-01 9.991538461538461702e-01
