# Boundary size = 21,repeat=800,threads=16
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.683332999999999746e-01 4.133593749999999734e-01
-3.676666000000000101e-01 4.621093749999999889e-01
-3.669999999999999929e-01 5.157812499999999689e-01
-3.663332999999999728e-01 5.725000000000000089e-01
-3.656666000000000083e-01 6.209375000000000311e-01
-3.649999999999999911e-01 6.642187499999999689e-01
-3.643333000000000266e-01 7.145312499999999512e-01
-3.636666000000000065e-01 7.560156249999999689e-01
-3.629999999999999893e-01 7.941406250000000444e-01
