# Boundary size = 8,repeat=2600,threads=5
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.693915999999999866e-01 3.876923076923076694e-01
-3.689915999999999752e-01 4.041538461538461413e-01
-3.685915000000000163e-01 4.106153846153846043e-01
-3.681915000000000049e-01 4.220769230769230718e-01
-3.677914999999999934e-01 4.323846153846153673e-01
-3.673914999999999820e-01 4.414615384615384608e-01
-3.681916000000000078e-01 4.133846153846154059e-01
-3.677915999999999963e-01 4.360769230769230842e-01
-3.673915999999999848e-01 4.406153846153846310e-01
