# Boundary size = 19,repeat=800,threads=16
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.683332999999999746e-01 4.206250000000000266e-01
-3.676666000000000101e-01 4.671874999999999778e-01
-3.669999999999999929e-01 5.128125000000000044e-01
-3.663332999999999728e-01 5.553124999999999867e-01
-3.656666000000000083e-01 5.958593749999999689e-01
-3.649999999999999911e-01 6.428906250000000488e-01
-3.643333000000000266e-01 6.810937500000000533e-01
-3.636666000000000065e-01 7.291406249999999867e-01
-3.629999999999999893e-01 7.656250000000000000e-01
