# Boundary size = 15,repeat=800,threads=16
# ,p_f=1 Data is stored in the following manner
# time(eta), probability
-3.683332999999999746e-01 4.271874999999999978e-01
-3.676666000000000101e-01 4.519531250000000111e-01
-3.669999999999999929e-01 4.935937499999999978e-01
-3.663332999999999728e-01 5.270312499999999512e-01
-3.656666000000000083e-01 5.620312499999999822e-01
-3.649999999999999911e-01 6.034374999999999600e-01
-3.643333000000000266e-01 6.303125000000000533e-01
-3.636666000000000065e-01 6.734375000000000222e-01
-3.629999999999999893e-01 6.969531249999999512e-01
