# Boundary size = 90,repeat=800,threads=12
#  Data is stored in the following manner
# time(tau), probability
-1.012147799999999931e+00 4.965625000000000178e-01
-1.003949999999999898e+00 5.749999999999999556e-01
-1.002147799999999922e+00 6.048958333333332993e-01
-9.939500000000000002e-01 6.726041666666666696e-01
-9.921476999999999657e-01 6.907291666666666163e-01
