# Boundary size = 40,repeat=800,threads=12
#  Data is stored in the following manner
# time(tau), probability
-1.043599900000000025e+00 3.469791666666666718e-01
-1.013599899999999998e+00 4.515624999999999778e-01
-1.003599899999999989e+00 5.068749999999999645e-01
-9.935998999999999803e-01 5.340624999999999956e-01
-9.835998999999999715e-01 5.797916666666667052e-01
