# Boundary size = 80,repeat=800,threads=12
#  Data is stored in the following manner
# time(tau), probability
-1.013599899999999998e+00 4.809375000000000178e-01
-1.012147799999999931e+00 5.057291666666666741e-01
-1.003599899999999989e+00 5.646875000000000089e-01
-1.002147799999999922e+00 5.901041666666666519e-01
-9.935998999999999803e-01 6.591666666666666785e-01
